id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified05720b3e-ed5f-406b-8f63-e2406b5d82d5;Sitzungszimmer B;9.3479842;47.4134074;2025-12-16T03:09:45+01:00
07ccf18b-66ba-4e13-9cc2-2000d7464f14;Sitzungszimmer A;9.3479842;47.4134074;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/6/c/8/96c8b6779cd370edeb396cba4ecca6ba9a728130_TSOAG.png'}];2025-12-16T03:09:51+01:00
0b3acd75-1387-40de-8dad-9dec9c24dc25;Sitzungszimmer C;9.3479842;47.4134074;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/6/1/f/461f8d8a02e1f5adb4b0585cad55eb2b78e80a62_43097227700_a8c9108d9a_o.jpg'}];2025-12-16T03:09:53+01:00
11d4b273-0dc0-4fb9-bfbe-de609aae578d;Felsen Sitzungszimmer;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/5/c/3/c/5c3ca9ec04efc63569132f484c41e118e4a77261_Felsen_Sitzungszimmer.png'}];2026-03-17T02:03:37+01:00
157740f6-4a8f-4198-b127-e9c733353041;Tagesraum Alpenglühen;Der Tagesraum Alpenglühen bietet eine gemütliche und gut ausgestattete Umgebung für Meetings Workshops und private Veranstaltungen im Herzen von Zürich.;Der Tagesraum Alpenglühen ist der perfekte Ort für Ihre nächste Veranstaltung. Mit modernster Ausstattung schnellem WLAN und einer flexiblen Bestuhlung bietet der Raum Platz für bis zu 20 Personen. Die zentrale Lage in Zürich nur wenige Gehminuten vom Hauptbahnhof entfernt macht es einfach für Ihre Gäste den Raum zu erreichen. Neben der technischen Ausstattung bietet der Raum auch eine kleine Küche und eine gemütliche Lounge-Ecke für entspannte Pausen. Unser Team steht Ihnen jederzeit zur Verfügung um sicherzustellen dass Ihre Veranstaltung reibungslos verläuft. Ob für Geschäftstreffen Workshops oder private Feiern der Tagesraum Alpenglühen schafft die ideale Atmosphäre für produktive und angenehme Stunden.;9.3698138;47.4232548;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/1/6/3/9163676dd228440ffd539af1b81062f7a7fb884e_moderne_konferenzraum_zuerich_sommer.jpg'}];2025-04-15T07:54:53+02:00
424e6cc9-bd03-4390-9a11-c5aa942b7d3e;Wald Sitzungszimmer;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/5/c/b/4/5cb47b018a18ee1b469f0af66a607eeb93f3fc62_Wald_Sitzungszimmer.png'}];2026-03-17T02:02:09+01:00
61cfbb6b-9295-4cbb-a9eb-62ba9620fbe3;Fluss Sitzungszimmer;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/3/b/c/b3bc7c94ade16e0c3726ec9fc5d6d058ef3119a6_Fluss_Sitzungszimmer.png'}];2026-03-17T02:00:52+01:00
7e03da10-fa82-4a50-bffb-2d54a5d44084;Turm Sitzungszimmer;Kurzbeschreibung;Beschreibung;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/0/1/5/e/015ea248ad095029717fb8c1af37a4928858da3b_Designer_9_.jpeg'}];2025-12-02T15:57:27+01:00
821e31a4-5359-4bab-accd-914a6f1fdb4a;_TEST Meeting Room;Kurzbeschreibung;Beschreibung;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/b/b/7/bbb754bb8c3b431a278b623d5405ac0b2406c6d6_placeholder.png', 'caption': {'de': 'Hauptbild Beschreibung'}}];2025-11-24T15:17:53+01:00
900db9f8-bf39-4e19-bf31-efa00f5c3fea;Seesteg Sitzungszimmer;Kurzbeschreibung;Beschreibung;9.505267395198327;47.5170476;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/8/f/2/c8f2de112301fd89925b2dbc9e58f02e3dd8f59f_Designer_11_.jpeg'}];2025-12-02T15:52:02+01:00
aad6241a-d0e4-45d8-bccc-893a13837b12;Bergblick Sitzungszimmer;Kurzbeschreibung;Beschreibung;9.3754457;47.4214519;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/c/f/7/ccf77b3038339d6b9f85e05f55e7a47a968d94ac_Designer_10_.jpeg'}];2025-12-02T15:57:51+01:00
f5e582ce-b7d4-49f4-904f-142117cc40bb;Meet im Restaurant 123;Der schönste Meetingraum;<p>Meet und Dine vom Feinsten</p>;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/5/2/c/b/52cb0251613a27880a881e97693575e15ac6b66b_metingraum.jpg'}];2025-12-16T03:09:14+01:00
