id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified0a330157-18eb-4bc6-9cd2-c79e85e33b7a;Männerbad;Das Männerbad bietet eine exklusive Oase für Männer mit einem modernen Schwimmbecken.;Das Männerbad ist der perfekte Rückzugsort für Männer, die Entspannung in einer stilvollen Umgebung suchen. Es verfügt über ein grosszügiges Schwimmbecken mit kristallklarem Wasser. Unsere Einrichtungen sind darauf ausgelegt, Ihnen eine angenehme und erholsame Zeit zu bieten. Nutzen Sie unsere wöchentlichen Aquafit-Kurse oder relaxen Sie im Ruhebereich.;9.3845293;47.4165281;Fitnessstrasse 12;9011;St. Georgen;+41 71 123 45 67;info@maennerbadaqua.ch;http://www.maennerbadaqua.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/1/d/9/91d967024924bd43b3cb09b58345fe5a67e5a091_maennerbad_aussenansicht.jpg'}];2025-04-15T07:54:53+02:00
24e98c4a-55f6-4661-8c1a-448609f5fa7f;GALLUS Kaufhaus;Kurzbeschreibung;Beschreibung;9.3762397;47.425618;Gallusserstrasse 5;9000;St. Gallen;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/6/2/a/b/62ab482c4c77789e40e524294b537d3f38375358_shoppingcenter_schweiz_sommer_nachmittag.jpg'}];2025-04-15T07:54:53+02:00
2e3ee3cb-c56e-42e5-bcb9-eec266cafe9f;Grosshändler Grosi;Kurzbeschreibung;Beschreibung;9.3999;47.3308;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
2e8b4948-bbdd-44ae-bc22-60d478d39fca;TSO AG;9.3479842;47.4134074;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/0/c/5/8/0c58d141c818f815058a8e2d6f166cd4ed91155c_TSOAG.png'}];2025-08-08T13:57:53+02:00
338864ac-b21f-4ca6-9705-1d1276dc447f;Herrenmodeladen Herri;Kurzbeschreibung;Beschreibung;9.0175;46.1923;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
384dfdc2-3ed6-42be-955e-4aedda91ab39;Baummarkt Dumbo;Kurzbeschreibung;Beschreibung;6.9293;46.9931;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
4062c666-d403-40a7-ba1e-a868dd6c22f0;Pfandhaus Pfahl;Kurzbeschreibung;Beschreibung;8.3067;47.4738;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
42054978-ef36-4c55-84f9-972746669eb7;Living & Deko Doci;Kurzbeschreibung;Beschreibung;8.2242;46.8132;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
4551771d-c6c2-4609-9dbc-c9b9d3973931;Modellbau Modi;Kurzbeschreibung;Beschreibung;8.6349;47.6971;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
4815e81b-75e8-410f-a564-1cfc6ed6eb0f;Pfuster Möbelhaus;Kurzbeschreibung;Beschreibung;8.9524;46.0059;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
4ac9c749-eb20-4cd5-ab7a-da45e8a026c2;PC-HIGH Strubiger;Kurzbeschreibung;Beschreibung;8.3093;47.0502;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
4f8c8e89-3668-4c84-8643-11bc31bfbe59;Lebensmittelladen Höfli;Kurzbeschreibung;Beschreibung;9.5295;46.8503;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
