id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified05cffdbd-5e33-4b47-ad69-b587754d6403;Gipfelbergli;Das Gipelbergli in der Ostschweiz ist ein idyllisches Bergparadies für Wanderer und Naturliebhaber mit atemberaubender Alpenlandschaft.;Das Gipelbergli, gelegen in der atemberaubenden Ostschweiz, bietet Besuchern eine malerische Landschaft mit üppigen Wiesen, kristallklaren Bergseen und beeindruckenden Gipfeln. Perfekt für Wanderer, Naturliebhaber und Fotografen, die die unberührte Schönheit der Alpen erleben möchten. Genießen Sie die frische Bergluft, entdecken Sie seltene Alpenblumen und beobachten Sie Steinböcke in ihrer natürlichen Umgebung.;9.4143036;47.2827522;Bergweg 12;9057;Schwende;+41 71 123 45 67;info@gipelbergli.ch;http://www.gipelbergli.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/3/b/a/e/3bae0ac4c0b2a06fa17f504a50c471970edad510_gipfelbergli_maenner_wandern.jpg'}];2025-04-15T07:54:53+02:00
2e8b4948-bbdd-44ae-bc22-60d478d39fca;TSO AG;9.3479842;47.4134074;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/0/c/5/8/0c58d141c818f815058a8e2d6f166cd4ed91155c_TSOAG.png'}];2025-08-08T13:57:53+02:00
316c3d26-eccf-43ab-8660-b375077cf67e;Reservoir Resi;Kurzbeschreibung;Beschreibung;7.6216;46.7511;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/7/2/b/7/72b7826384aace515c67fde5abfd7949f6a07385_Designer_19_.jpeg'}];2025-04-15T07:54:53+02:00
400510bb-6121-4b45-861d-6163113ade54;Fluss Alpino;Ein malerischer Fluss der durch die atemberaubenden Landschaften der Schweizer Alpen fliesst.;Der Fluss der Alpino ist ein beeindruckender Wasserlauf der sich durch die majestätischen Berge und Täler der Schweizer Alpen schlängelt. Mit seiner klaren türkisfarbenen Wasserqualität zieht er Naturliebhaber und Abenteurer aus der ganzen Welt an. Der Fluss bietet zahlreiche Möglichkeiten für Outdoor-Aktivitäten wie Wandern Rafting und Angeln. Entlang seiner Ufer finden sich charmante Dörfer und historische Stätten die einen Einblick in die reiche Kultur und Geschichte der Region bieten. Der Fluss der Alpen ist nicht nur ein Naturwunder sondern auch ein wichtiger Lebensraum für viele Pflanzen- und Tierarten.;9.3999;47.3308;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/7/c/c/c/7cccb974c6f51b6837ad23b601d78f1856ced0c8_malerischer_fluss_schweizer_alpen_sommer.jpg'}];2025-04-15T07:54:53+02:00
4062c666-d403-40a7-ba1e-a868dd6c22f0;Pfandhaus Pfahl;Kurzbeschreibung;Beschreibung;8.3067;47.4738;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/4/7/4/c4742347e595316cd9e7bd4dc491cf541018b064_Designer_27_.jpeg'}];2025-04-15T07:54:53+02:00
496d132b-d445-4654-a23d-2702fde86a86;Berg Flügehorn;Der Berg Flügehorn ist ein beeindruckender Gipfel in den Schweizer Alpen bekannt für seine malerische Aussicht und herausfordernden Wanderwege.;Der Berg Flügehorn erhebt sich majestätisch in den Schweizer Alpen und bietet Wanderern und Naturliebhabern ein unvergessliches Erlebnis. Mit einer Höhe von 3'200 Metern bietet er atemberaubende Panoramablicke auf die umliegenden Täler und Gipfel. Der Berg ist besonders beliebt bei erfahrenen Wanderern die die Herausforderung der steilen Anstiege und schmalen Pfade suchen. Im Sommer können Besucher die vielfältige Flora und Fauna entdecken während im Winter Skitouren und Schneeschuhwanderungen angeboten werden. Der nächstgelegene Ort Flügedorf, ist ein charmantes Bergdorf mit gemütlichen Unterkünften und traditioneller Schweizer Küche. Der Berg Flügehorn ist ein Muss für alle die die natürliche Schönheit und die sportlichen Herausforderungen der Schweizer Alpen erleben möchten.;9.31713;47.1637;Bergweg 1 ;9658;Wildhaus;+41 71 123 45 67;info@fluegehorn.ch;http://www.fluegehorn.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/c/f/e/7/cfe7c34e92c084544d94b3e301db3e0fc7a5c902_schweizer_alpen_fluegehorn_sommer_nachmittag.jpg'}];2025-04-15T07:54:53+02:00
5c0e1f0c-d226-4cec-a27d-3cbec10ec2f6;Schuhladen Flaschenfluss;Kurzbeschreibung;Beschreibung;6.9107;46.4312;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/2/6/2/d/262d1891948597f01f4685fb92d920626be0c71f_kinder_schuhladen_schweiz_winter_morgen.jpg'}];2025-04-15T07:54:53+02:00
67fe35c3-b935-4c4a-a0d6-082ae09620f3;Spielzeugladen Zillibilli;Kurzbeschreibung;Beschreibung;9.4087;47.2679;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/e/e/8/4/ee84f72eb6707c9b6947d327e0e08b822d7d588b_spielzeugladen_ohne_fenster_schweiz_shoppingcenter_fruehling.jpg'}];2025-04-15T07:54:53+02:00
78e23de6-5a16-4311-a4e3-34f36fff5ba6;Fiktiversee;Der Fiktiversee ist ein malerischer See in der Schweiz bekannt für seine kristallklaren Gewässer und die beeindruckende umliegende Berglandschaft.;Der Fiktiversee liegt inmitten der atemberaubenden Schweizer Alpen und erstreckt sich über eine Fläche von rund 10 Quadratkilometern. Der See ist ein beliebtes Ziel für Naturliebhaber und bietet zahlreiche Freizeitmöglichkeiten wie Wandern Schwimmen und Bootfahren. Das klare Wasser des Sees reflektiert die umliegenden Berge und bietet eine atemberaubende Kulisse für Fotografen. Rund um den See gibt es gut ausgebaute Wanderwege und mehrere Aussichtspunkte die spektakuläre Blicke auf den See und die Alpenlandschaft bieten. Der Fiktiversee ist ein idealer Ort für einen entspannten Tagesausflug oder einen längeren Urlaub in der Natur.;9.4087;47.2679;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/f/3/0/6/f30639ccf5500393cc21b0b4804d16c943e3b006_schweizer_alpen_sommer_morgen_vogelperspektive.jpg'}];2025-04-15T07:54:53+02:00
7f572f4e-7908-499b-9ab9-57e4497df6be;Rinnsalfluss;Kurzbeschreibung;Beschreibung;7.3594;46.2293;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/7/2/b/7/72b7826384aace515c67fde5abfd7949f6a07385_Designer_19_.jpeg'}];2025-04-15T07:54:53+02:00
7fbbd723-c451-4aef-ae87-daae5c4ab2d2;Berg Spitzli;Kurzbeschreibung;Beschreibung;9.402422869869046;47.21047011725193;Spitzenweg 78;9658;Wildhaus;[{'@type': 'ImageObject', 'contentUrl': 'https://demopimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/1/3/2/e/132e2d24b46828ad1903b76f650a59857a837c9b_schweizer_berglandschaft_herbst_sonnig_mittag.jpg'}];2025-04-15T07:54:53+02:00
